itm_no_item|OBJETO INVALIDO
itm_sarranid_veiled_helmet_pl|Casco con visera sarraní
itm_nordic_archer_helmet|Casco de cuero nórdico
itm_nordic_archer_helmet_pl|Casco de cuero nórdico
itm_nordic_veteran_archer_helmet|Casco de cuero nórdico
itm_nordic_veteran_archer_helmet_pl|Casco de cuero nórdico
itm_nordic_footman_helmet|Casco nórdico de soldado raso
itm_nordic_footman_helmet_pl|Casco nórdico de soldado raso
itm_nordic_fighter_helmet|Casco nórdico de guerrero
itm_nordic_fighter_helmet_pl|Casco nórdico de guerrero
itm_nordic_huscarl_helmet|Casco de campeón nórdico
itm_nordic_huscarl_helmet_pl|Casco de campeón nórdico
itm_nordic_warlord_helmet|Casco nórdico de señor guerrero
itm_nordic_warlord_helmet_pl|Casco nórdico de señor guerrero
itm_vaegir_fur_cap|Gorro de piel
itm_vaegir_fur_cap_pl|Gorro de piel
itm_vaegir_fur_helmet|Yelmo vaegir
itm_vaegir_fur_helmet_pl|Yelmo vaegir
itm_vaegir_spiked_helmet|Yelmo de punta
itm_vaegir_spiked_helmet_pl|Yelmo de punta
itm_vaegir_lamellar_helmet|Yelmo de láminas
itm_vaegir_lamellar_helmet_pl|Yelmo de láminas
itm_vaegir_noble_helmet|Yelmo de noble vaegir
itm_vaegir_noble_helmet_pl|Yelmo de noble vaegir
itm_vaegir_war_helmet|Yelmo vaegir de guerra
itm_vaegir_war_helmet_pl|Yelmo vaegir de guerra
itm_vaegir_mask|Máscara vaegir de guerra
itm_vaegir_mask_pl|Máscara vaegir de guerra
itm_bascinet|Bacinete
itm_bascinet_pl|Bacinete
itm_bascinet_2|Bacinete con aventail
itm_bascinet_2_pl|Bacinete con aventail
itm_bascinet_3|Bacinete con protector de nariz
itm_bascinet_3_pl|Bacinete con protector de nariz
itm_guard_helmet|Yelmo de guardia
itm_guard_helmet_pl|Yelmo de guardia
itm_black_helmet|Yelmo negro
itm_black_helmet_pl|Yelmo negro
itm_full_helm|Yelmo completo
itm_full_helm_pl|Yelmo completo
itm_great_helmet|Gran yelmo
itm_great_helmet_pl|Gran yelmo
itm_winged_great_helmet|Gran yelmo alado
itm_winged_great_helmet_pl|Gran yelmo alado
itm_wooden_stick|Palo de madera
itm_wooden_stick_pl|Palo de madera
itm_cudgel|Garrote
itm_cudgel_pl|Garrote
itm_hammer|Martillo
itm_hammer_pl|Martillo
itm_club|Palo
itm_club_pl|Palo
itm_winged_mace|Maza de aletas
itm_winged_mace_pl|Maza de aletas
itm_spiked_mace|Maza de pinchos
itm_spiked_mace_pl|Maza de pinchos
itm_military_hammer|Martillo militar
itm_military_hammer_pl|Martillo militar
itm_maul|Mazo
itm_maul_pl|Mazo
itm_sledgehammer|Almádena
itm_sledgehammer_pl|Almádena
itm_warhammer|Martillo de guerra
itm_warhammer_pl|Martillo de guerra
itm_pickaxe|Pico
itm_pickaxe_pl|Pico
itm_spiked_club|Palo con pinchos
itm_spiked_club_pl|Palo con pinchos
itm_fighting_pick|Pico de guerra
itm_fighting_pick_pl|Pico de guerra
itm_military_pick|Pico militar
itm_military_pick_pl|Pico militar
itm_morningstar|Lucero del alba
itm_morningstar_pl|Lucero del alba
itm_sickle|Hoz
itm_sickle_pl|Hoz
itm_cleaver|Cuchillo desollador
itm_cleaver_pl|Cuchillo desollador
itm_knife|Cuchillo
itm_knife_pl|Cuchillo
itm_butchering_knife|Machete
itm_butchering_knife_pl|Machete
itm_dagger|Daga
itm_dagger_pl|Daga
itm_falchion|Alfanje
itm_falchion_pl|Alfanje
itm_scimitar|Cimitarra
itm_scimitar_pl|Cimitarra
itm_scimitar_b|Cimitarra de élite
itm_scimitar_b_pl|Cimitarra de élite
itm_arabian_sword_a|Espada sarraní
itm_arabian_sword_a_pl|Espada sarraní
itm_arabian_sword_b|Espada sarraní
itm_arabian_sword_b_pl|Espada sarraní
itm_sarranid_cavalry_sword|Espada de caballería sarraní
itm_sarranid_cavalry_sword_pl|Espada de caballería sarraní
itm_arabian_sword_d|Espada de la guardia sarraní
itm_arabian_sword_d_pl|Espada de la guardia sarraní
itm_great_sword|Espadón
itm_great_sword_pl|Espadón
itm_sword_of_war|Espadón de guerra
itm_sword_of_war_pl|Espadón de guerra
itm_hatchet|Hachuela
itm_hatchet_pl|Hachuela
itm_hand_axe|Hacha ligera
itm_hand_axe_pl|Hacha ligera
itm_fighting_axe|Hacha de combate
itm_fighting_axe_pl|Hacha de combate
itm_axe|Hacha
itm_axe_pl|Hacha
itm_voulge|Voulge
itm_voulge_pl|Voulge
itm_battle_axe|Hacha de batalla
itm_battle_axe_pl|Hacha de batalla
itm_war_axe|Hacha de guerra
itm_war_axe_pl|Hacha de guerra
itm_sword_two_handed_b|Mandoble
itm_sword_two_handed_b_pl|Mandoble
itm_sword_two_handed_a|Gran espada
itm_sword_two_handed_a_pl|Gran espada
itm_khergit_sword_two_handed_a|Mandoble khergita
itm_khergit_sword_two_handed_a_pl|Mandoble khergita
itm_khergit_sword_two_handed_b|Mandoble khergita
itm_khergit_sword_two_handed_b_pl|Mandoble khergita
itm_two_handed_cleaver|Cuchillo de guerra
itm_two_handed_cleaver_pl|Cuchillo de guerra
itm_military_cleaver_b|Cuchillo de soldado
itm_military_cleaver_b_pl|Cuchillo de soldado
itm_military_cleaver_c|Cuchillo militar
itm_military_cleaver_c_pl|Cuchillo militar
itm_military_sickle_a|Hoz militar
itm_military_sickle_a_pl|Hoz militar
itm_bastard_sword_a|Espada bastarda
itm_bastard_sword_a_pl|Espada bastarda
itm_bastard_sword_b|Espada bastarda pesada
itm_bastard_sword_b_pl|Espada bastarda pesada
itm_one_handed_war_axe_a|Hacha de guerra ligera
itm_one_handed_war_axe_a_pl|Hacha de guerra ligera
itm_one_handed_battle_axe_a|Hacha de batalla ligera
itm_one_handed_battle_axe_a_pl|Hacha de batalla ligera
itm_one_handed_war_axe_b|Hacha de guerra ligera
itm_one_handed_war_axe_b_pl|Hacha de guerra ligera
itm_one_handed_battle_axe_b|Hacha de batalla ligera
itm_one_handed_battle_axe_b_pl|Hacha de batalla ligera
itm_one_handed_battle_axe_c|Hacha de batalla ligera
itm_one_handed_battle_axe_c_pl|Hacha de batalla ligera
itm_two_handed_axe|Hacha a dos manos
itm_two_handed_axe_pl|Hacha a dos manos
itm_two_handed_battle_axe_2|Hacha de guerra a dos manos
itm_two_handed_battle_axe_2_pl|Hacha de guerra a dos manos
itm_shortened_voulge|Voulge acortada
itm_shortened_voulge_pl|Voulge acortada
itm_great_axe|Gran hacha
itm_great_axe_pl|Gran hacha
itm_long_axe|Hacha de mango largo
itm_long_axe_pl|Hacha de mango largo
itm_long_axe_alt|Hacha de mango largo
itm_long_axe_alt_pl|Hacha de mango largo
itm_long_axe_b|Hacha de guerra de mango largo
itm_long_axe_b_pl|Hacha de guerra de mango largo
itm_long_axe_b_alt|Hacha de mango largo
itm_long_axe_b_alt_pl|Hacha de mango largo
itm_long_axe_c|Gran hacha de mango largo
itm_long_axe_c_pl|Gran hacha de mango largo
itm_long_axe_c_alt|Hacha de mango largo
itm_long_axe_c_alt_pl|Hacha de mango largo
itm_bardiche|Bardiche
itm_bardiche_pl|Bardiche
itm_great_bardiche|Gran Bardiche
itm_great_bardiche_pl|Gran Bardiche
itm_long_bardiche|Bardiche de mango largo
itm_long_bardiche_pl|Bardiche de mango largo
itm_great_long_bardiche|Gran bardiche de mango largo
itm_great_long_bardiche_pl|Gran bardiche de mango largo
itm_hafted_blade_b|Hoja con mango
itm_hafted_blade_b_pl|Hoja con mango
itm_hafted_blade_a|Hoja con mango
itm_hafted_blade_a_pl|Hoja con mango
itm_shortened_military_scythe|Archa militar recortada
itm_shortened_military_scythe_pl|Archa militar recortada
itm_sword_medieval_a|Espada
itm_sword_medieval_a_pl|Espada
itm_sword_medieval_b|Espada
itm_sword_medieval_b_pl|Espada
itm_sword_medieval_b_small|Espada corta
itm_sword_medieval_b_small_pl|Espada corta
itm_sword_medieval_c|Espada normanda
itm_sword_medieval_c_pl|Espada normanda
itm_sword_medieval_c_small|Espada corta normanda
itm_sword_medieval_c_small_pl|Espada corta normanda
itm_sword_medieval_c_long|Espada larga normanda
itm_sword_medieval_c_long_pl|Espada larga normanda
itm_sword_medieval_d_long|Espada larga normanda
itm_sword_medieval_d_long_pl|Espada larga normanda
itm_sword_viking_1|Espada nórdica
itm_sword_viking_1_pl|Espada nórdica
itm_sword_viking_2|Espada nórdica
itm_sword_viking_2_pl|Espada nórdica
itm_sword_viking_2_small|Espada nórdica corta
itm_sword_viking_2_small_pl|Espada nórdica corta
itm_sword_viking_3|Espada nórdica
itm_sword_viking_3_pl|Espada nórdica
itm_sword_viking_3_small|Espada nórdica
itm_sword_viking_3_small_pl|Espada nórdica
itm_sword_khergit_1|Sable nómada
itm_sword_khergit_1_pl|Sable nómada
itm_sword_khergit_2|Sable
itm_sword_khergit_2_pl|Sable
itm_sword_khergit_3|Sable
itm_sword_khergit_3_pl|Sable
itm_sword_khergit_4|Sable pesado
itm_sword_khergit_4_pl|Sable pesado
itm_mace_1|Palo con pinchos
itm_mace_1_pl|Palo con pinchos
itm_mace_2|Maza barreteada
itm_mace_2_pl|Maza barreteada
itm_mace_3|Maza de pinchos
itm_mace_3_pl|Maza de pinchos
itm_mace_4|Maza de aletas
itm_mace_4_pl|Maza de aletas
itm_club_with_spike_head|Porra con clavo
itm_club_with_spike_head_pl|Porra con clavo
itm_long_spiked_club|Palo largo con pinchos
itm_long_spiked_club_pl|Palo largo con pinchos
itm_long_hafted_knobbed_mace|Maza barreteada de mango largo
itm_long_hafted_knobbed_mace_pl|Maza barreteada de mango largo
itm_long_hafted_spiked_mace|Maza con pinchos de mango largo
itm_long_hafted_spiked_mace_pl|Maza con pinchos de mango largo
itm_sarranid_two_handed_mace_1|Maza de hierro
itm_sarranid_two_handed_mace_1_pl|Maza de hierro
itm_sarranid_mace_1|Maza de hierro
itm_sarranid_mace_1_pl|Maza de hierro
itm_sarranid_axe_a|Hacha de batalla de hierro
itm_sarranid_axe_a_pl|Hacha de batalla de hierro
itm_sarranid_axe_b|Hacha de guerra de hierro
itm_sarranid_axe_b_pl|Hacha de guerra de hierro
itm_sarranid_two_handed_axe_a|Hacha de batalla sarraní
itm_sarranid_two_handed_axe_a_pl|Hacha de batalla sarraní
itm_sarranid_two_handed_axe_b|Hacha de guerra sarraní
itm_sarranid_two_handed_axe_b_pl|Hacha de guerra sarraní
itm_scythe|Archa
itm_scythe_pl|Archa
itm_pitch_fork|Horca
itm_pitch_fork_pl|Horca
itm_military_fork|Horca militar
itm_military_fork_pl|Horca militar
itm_battle_fork|Horca de batalla
itm_battle_fork_pl|Horca de batalla
itm_boar_spear|Lanza de caza
itm_boar_spear_pl|Lanza de caza
itm_jousting_lance|Lanza de justas
itm_jousting_lance_pl|Lanza de justas
itm_double_sided_lance|Lanza de doble punta
itm_double_sided_lance_pl|Lanza de doble punta
itm_glaive|Guja
itm_glaive_pl|Guja
itm_poleaxe|Hacha enastada
itm_poleaxe_pl|Hacha enastada
itm_polehammer|Martillo enastado
itm_polehammer_pl|Martillo enastado
itm_staff|Bastón
itm_staff_pl|Bastón
itm_quarter_staff|Bastón largo
itm_quarter_staff_pl|Bastón largo
itm_iron_staff|Bastón de hierro
itm_iron_staff_pl|Bastón de hierro
itm_shortened_spear|Lanza recortada
itm_shortened_spear_pl|Lanza recortada
itm_spear|Lanza
itm_spear_pl|Lanza
itm_bamboo_spear|Lanza de bambú
itm_bamboo_spear_pl|Lanza de bambú
itm_war_spear|Lanza de guerra
itm_war_spear_pl|Lanza de guerra
itm_military_scythe|Archa militar
itm_military_scythe_pl|Archa militar
itm_light_lance|Lanza ligera de caballería
itm_light_lance_pl|Lanza ligera de caballería
itm_lance|Lanza de caballería
itm_lance_pl|Lanza de caballería
itm_heavy_lance|Lanza pesada de caballería
itm_heavy_lance_pl|Lanza pesada
itm_great_lance|Gran lanza
itm_great_lance_pl|Gran lanza
itm_pike|Pica
itm_pike_pl|Pica
itm_ashwood_pike|Pica de fresno
itm_ashwood_pike_pl|Pica de fresno
itm_awlpike|Ahlspiess
itm_awlpike_pl|Ahlspiess
itm_awlpike_long|Ahlspiess larga
itm_awlpike_long_pl|Ahlspiess larga
itm_bec_de_corbin_a|Martillo de guerra
itm_bec_de_corbin_a_pl|Martillo de guerra
itm_wooden_shield|Escudo de madera
itm_wooden_shield_pl|Escudo de madera
itm_nordic_shield|Escudo nórdico
itm_nordic_shield_pl|Escudo nórdico
itm_fur_covered_shield|Escudo de pieles
itm_fur_covered_shield_pl|Escudo de pieles
itm_steel_shield|Escudo de acero
itm_steel_shield_pl|Escudo de acero
itm_plate_covered_round_shield|Broquel de placas
itm_plate_covered_round_shield_pl|Broquel de placas
itm_leather_covered_round_shield|Broquel de cuero
itm_leather_covered_round_shield_pl|Broquel de cuero
itm_hide_covered_round_shield|Broquel de pieles
itm_hide_covered_round_shield_pl|Broquel de pieles
itm_shield_heater_c|Escudo cometa
itm_shield_heater_c_pl|Escudo cometa
itm_norman_shield_1|Escudo de lágrima
itm_norman_shield_1_pl|Escudo de lágrima
itm_norman_shield_2|Escudo de lágrima
itm_norman_shield_2_pl|Escudo de lágrima
itm_norman_shield_3|Escudo de lágrima
itm_norman_shield_3_pl|Escudo de lágrima
itm_norman_shield_4|Escudo de lágrima
itm_norman_shield_4_pl|Escudo de lágrima
itm_norman_shield_5|Escudo de lágrima
itm_norman_shield_5_pl|Escudo de lágrima
itm_norman_shield_6|Escudo de lágrima
itm_norman_shield_6_pl|Escudo de lágrima
itm_norman_shield_7|Escudo de lágrima
itm_norman_shield_7_pl|Escudo de lágrima
itm_norman_shield_8|Escudo de lágrima
itm_norman_shield_8_pl|Escudo de lágrima
itm_tab_shield_round_a|Broquel viejo
itm_tab_shield_round_a_pl|Broquel viejo
itm_tab_shield_round_b|Broquel corriente
itm_tab_shield_round_b_pl|Broquel corriente
itm_tab_shield_round_c|Broquel
itm_tab_shield_round_c_pl|Broquel
itm_tab_shield_round_d|Broquel pesado
itm_tab_shield_round_d_pl|Broquel pesado
itm_tab_shield_round_e|Broquel de campeón nórdico
itm_tab_shield_round_e_pl|Broquel de campeón nórdico
itm_tab_shield_kite_a|Escudo de lágrima viejo
itm_tab_shield_kite_a_pl|Escudo de lágrima viejo
itm_tab_shield_kite_b|Escudo de lágrima corriente
itm_tab_shield_kite_b_pl|Escudo de lágrima corriente
itm_tab_shield_kite_c|Escudo de lágrima
itm_tab_shield_kite_c_pl|Escudo de lágrima
itm_tab_shield_kite_d|Escudo de lágrima pesado
itm_tab_shield_kite_d_pl|Escudo de lágrima pesado
itm_tab_shield_kite_cav_a|Escudo de lágrima de jinete
itm_tab_shield_kite_cav_a_pl|Escudo de lágrima de jinete
itm_tab_shield_kite_cav_b|Escudo de lágrima de caballero
itm_tab_shield_kite_cav_b_pl|Escudo de lágrima de caballero
itm_tab_shield_heater_a|Viejo Escudo cometa
itm_tab_shield_heater_a_pl|Viejo Escudo cometa
itm_tab_shield_heater_b|Escudo cometa corriente
itm_tab_shield_heater_b_pl|Escudo cometa corriente
itm_tab_shield_heater_c|Escudo cometa
itm_tab_shield_heater_c_pl|Escudo cometa
itm_tab_shield_heater_d|Escudo cometa pesado
itm_tab_shield_heater_d_pl|Escudo cometa pesado
itm_tab_shield_heater_cav_a|Escudo cometa de jinete
itm_tab_shield_heater_cav_a_pl|Escudo cometa de jinete
itm_tab_shield_heater_cav_b|Escudo cometa de caballero
itm_tab_shield_heater_cav_b_pl|Escudo cometa de caballero
itm_tab_shield_pavise_a|Pavés viejo
itm_tab_shield_pavise_a_pl|Pavés viejo
itm_tab_shield_pavise_b|Pavés corriente
itm_tab_shield_pavise_b_pl|Pavés corriente
itm_tab_shield_pavise_c|Pavés
itm_tab_shield_pavise_c_pl|Pavés
itm_tab_shield_pavise_d|Pavés pesado
itm_tab_shield_pavise_d_pl|Pavés pesado
itm_tab_shield_small_round_a|Escudo de caballería corriente
itm_tab_shield_small_round_a_pl|Escudo de caballería corriente
itm_tab_shield_small_round_b|Escudo de caballería redondo
itm_tab_shield_small_round_b_pl|Escudo de caballería redondo
itm_tab_shield_small_round_c|Escudo de caballería de élite
itm_tab_shield_small_round_c_pl|Escudo de caballería de élite
itm_darts|Dardos
itm_darts_pl|Dardos
itm_war_darts|Dardo de guerra
itm_war_darts_pl|Dardo de guerra
itm_javelin|Jabalina
itm_javelin_pl|Jabalina
itm_javelin_melee|Jabalina de cuerpo a cuerpo
itm_javelin_melee_pl|Jabalina de cuerpo a cuerpo
itm_throwing_spears|Lanza liviana
itm_throwing_spears_pl|Lanza liviana
itm_throwing_spear_melee|lanzas livianas
itm_throwing_spear_melee_pl|lanzas livianas
itm_jarid|Djerids
itm_jarid_pl|Djerids
itm_jarid_melee|Djerids
itm_jarid_melee_pl|Djerids
itm_stones|Piedras
itm_stones_pl|Piedras
itm_throwing_knives|Cuchillos arrojadizos
itm_throwing_knives_pl|Cuchillos arrojadizos
itm_throwing_daggers|Dagas arrojadizas
itm_throwing_daggers_pl|Dagas arrojadizas
itm_light_throwing_axes|Hachas livianas de lanzar
itm_light_throwing_axes_pl|Hachas livianas de lanzar
itm_light_throwing_axes_melee|Hacha liviana de lanzar
itm_light_throwing_axes_melee_pl|Hacha liviana de lanzar
itm_throwing_axes|Hachas arrojadizas
itm_throwing_axes_pl|Hachas arrojadizas
itm_throwing_axes_melee|Hacha de lanzar
itm_throwing_axes_melee_pl|Hacha de lanzar
itm_heavy_throwing_axes|Hachas pesadas de lanzar
itm_heavy_throwing_axes_pl|Hachas pesadas de lanzar
itm_heavy_throwing_axes_melee|Hacha pesada de lanzar
itm_heavy_throwing_axes_melee_pl|Hacha pesada de lanzar
itm_hunting_bow|Arco de caza
itm_hunting_bow_pl|Arco de caza
itm_short_bow|Arco corto
itm_short_bow_pl|Arco corto
itm_nomad_bow|Arco nómada
itm_nomad_bow_pl|Arco nómada
itm_long_bow|Arco largo
itm_long_bow_pl|Arco largo
itm_khergit_bow|Arco Khergita
itm_khergit_bow_pl|Arco Khergita
itm_strong_bow|Arco compuesto
itm_strong_bow_pl|Arco compuesto
itm_war_bow|Arco de guerra
itm_war_bow_pl|Arco de guerra
itm_hunting_crossbow|Ballesta de caza
itm_hunting_crossbow_pl|Ballesta de caza
itm_light_crossbow|Ballesta ligera
itm_light_crossbow_pl|Ballesta ligera
itm_crossbow|Ballesta
itm_crossbow_pl|Ballesta
itm_heavy_crossbow|Ballesta pesada
itm_heavy_crossbow_pl|Ballesta pesada
itm_sniper_crossbow|Ballesta de asedio
itm_sniper_crossbow_pl|Ballesta de asedio
itm_flintlock_pistol|Pistola de chispa
itm_flintlock_pistol_pl|Pistola de chispa
itm_torch|Antorcha
itm_torch_pl|Antorcha
itm_lyre|Lira
itm_lyre_pl|Lira
itm_lute|Flauta
itm_lute_pl|Flauta
itm_strange_armor|Armadura extraña
itm_strange_armor_pl|Armadura extraña
itm_strange_boots|Botas extrañas
itm_strange_boots_pl|Botas extrañas
itm_strange_helmet|Yelmo extraño
itm_strange_helmet_pl|Yelmo extraño
itm_strange_sword|Espada extraña
itm_strange_sword_pl|Espada extraña
itm_strange_great_sword|Gran espada extraña
itm_strange_great_sword_pl|Gran espada extraña
itm_strange_short_sword|Espada corta extraña
itm_strange_short_sword_pl|Espada corta extraña
itm_court_dress|Vestido de corte
itm_court_dress_pl|Vestido de corte
itm_rich_outfit|Vestimentas lujosas
itm_rich_outfit_pl|Vestimentas lujosas
itm_khergit_guard_armor|Armadura de Guardia Khergita
itm_khergit_guard_armor_pl|Armadura de Guardia Khergita
itm_felt_steppe_cap|Gorro estepario de fieltro
itm_felt_steppe_cap_pl|Gorro estepario de fieltro
itm_khergit_war_helmet|Yelmo de guerra Khergita
itm_khergit_war_helmet_pl|Yelmo de guerra Khergita
itm_khergit_helmet|Yelmo Khergita
itm_khergit_helmet_pl|Yelmo Khergita
itm_khergit_guard_boots|Botas de Guardia Khergita
itm_khergit_guard_boots_pl|Botas de Guardia Khergita
itm_khergit_guard_helmet|Yelmo de Guardia Khergita
itm_khergit_guard_helmet_pl|Yelmo de Guardia Khergita
itm_khergit_cavalry_helmet|Yelmo de caballería Khergita
itm_khergit_cavalry_helmet_pl|Yelmo de caballería Khergita
itm_black_hood|Capucha negra
itm_black_hood_pl|Capucha negra
itm_light_leather|Armadura ligera de cuero
itm_light_leather_pl|Armadura ligera de cuero
itm_light_leather_boots|Botas ligeras de cuero
itm_light_leather_boots_pl|Botas ligeras de cuero
itm_mail_and_plate|Malla y placas
itm_mail_and_plate_pl|Malla y placas
itm_light_mail_and_plate|Malla y placas ligeras
itm_light_mail_and_plate_pl|Malla y placas ligeras
itm_byzantion_helmet_a|Yelmo bizantino
itm_byzantion_helmet_a_pl|Yelmo bizantino
itm_magyar_helmet_a|Yelmo maygar
itm_magyar_helmet_a_pl|Yelmo maygar
itm_rus_helmet_a|Yelmo Ruso
itm_rus_helmet_a_pl|Yelmo Ruso
itm_sipahi_helmet_a|Yelmo Cipayo
itm_sipahi_helmet_a_pl|Yelmo Cipayo
itm_shahi|Shahi
itm_shahi_pl|Shahi
itm_rabati|Rabati
itm_rabati_pl|Rabati
itm_tunic_with_green_cape|Túnica verde con capa
itm_tunic_with_green_cape_pl|Túnica verde con capa
itm_keys|Llavero
itm_keys_pl|Llavero
itm_bride_dress|Vestido de novia
itm_bride_dress_pl|Vestido de novia
itm_bride_crown|Corona de flores
itm_bride_crown_pl|Corona de flores
itm_bride_shoes|Zapatos de novia
itm_bride_shoes_pl|Zapatos de novia
itm_practice_bow_2|Arco de práctica
itm_practice_bow_2_pl|Arco de práctica
itm_practice_arrows_2|Flechas de práctica
itm_practice_arrows_2_pl|Flechas de práctica
itm_plate_boots|Botas de placas
itm_plate_boots_pl|Botas de placas
itm_mail_boots_for_tableau|Botas de malla
itm_mail_boots_for_tableau_pl|Botas de malla
itm_warhorse_sarranid|Caballo de guerra Sarranian
itm_warhorse_sarranid_pl|Caballo de guerra Sarranian
itm_warhorse_steppe|Cargador de la estepa
itm_warhorse_steppe_pl|Vargador de la estepa
itm_javelin_bow|Javelin Bow
itm_javelin_bow_pl|Javelin Bow
itm_knockdown_mace|Knockdown Mace
itm_knockdown_mace_pl|Knockdown Mace
itm_blood_drain_throwing_knives|Blood Drain Throwing Knives
itm_blood_drain_throwing_knives_pl|Blood Drain Throwing Knives
itm_doom_javelins|Doom Javelins
itm_doom_javelins_pl|Doom Javelins
itm_disarming_throwing_axe|Disarming Throwing Axe
itm_disarming_throwing_axe_pl|Disarming Throwing Axe
itm_instakill_knife|Instakill Knife
itm_instakill_knife_pl|Instakill Knife
itm_backstabber|Backstabber
itm_backstabber_pl|Backstabber
itm_weak_beserker_dart|Weak Beserker Dart
itm_weak_beserker_dart_pl|Weak Beserker Dart
itm_team_change_dart|Team Change Dart
itm_team_change_dart_pl|Team Change Dart
itm_awesome_spear|Awesome Spear
itm_awesome_spear_pl|Awesome Spear
itm_running_boots|Running Boots
itm_running_boots_pl|Running Boots
itm_power_gloves|Power Gloves
itm_power_gloves_pl|Power Gloves
itm_invulnerable_helmet|Invulnerable Helmet
itm_invulnerable_helmet_pl|Invulnerable Helmet
itm_kicking_boots|Kicking Boots
itm_kicking_boots_pl|Kicking Boots
itm_restore_health_armour|Restore Health Armour
itm_restore_health_armour_pl|Restore Health Armour
itm_pes_start|PES
itm_pes_start_pl|PES
itm_resource_ammunition_pointer|Puntero de munición de Recursos
itm_resource_ammunition_pointer_pl|Punteros de munición de Recursos
itm_resource_weaponry_pointer|Punteros de Arsenal de Recursos
itm_resource_weaponry_pointer_pl|Puntero de Arsenal de Recursos
itm_resource_military_supplies_pointer|Puntero de recursos Militares
itm_resource_military_supplies_pointer_pl|Punteros de recursos Militares
itm_resource_fabric_pointer|Puntero de recursos de tela
itm_resource_fabric_pointer_pl|Punteros de recursos de tela
itm_resource_construction_materials_pointer|Puntero de recursos de materiales de construcción
itm_resource_construction_materials_pointer_pl|Punteros de recursos de materiales de construcción
itm_resource_furniture_pointer|Puntero de mueble de recursos
itm_resource_furniture_pointer_pl|Punteros de mueble de recursos
itm_resource_machine_parts_pointer|resource machine parts pointer
itm_resource_machine_parts_pointer_pl|resource machine parts pointer
itm_resource_paper_pointer|resource paper pointer
itm_resource_paper_pointer_pl|resource paper pointer
itm_resource_clothes_pointer|resource clothes pointer
itm_resource_clothes_pointer_pl|resource clothes pointer
itm_resource_timber_pointer|resource timber pointer
itm_resource_timber_pointer_pl|resource timber pointer
itm_resource_steel_pointer|resource steel pointer
itm_resource_steel_pointer_pl|resource steel pointer
itm_resource_iron|resource iron
itm_resource_iron_pl|resource iron
itm_resource_coal|resource coal
itm_resource_coal_pl|resource coal
itm_resource_meat|resource meat
itm_resource_meat_pl|resource meat
itm_resource_cotton|resource cotton
itm_resource_cotton_pl|resource cotton
itm_resource_flour|resource flour
itm_resource_flour_pl|resource flour
itm_resource_wood|resource wood
itm_resource_wood_pl|resource wood
itm_resource_ammunition|resource ammunition
itm_resource_ammunition_pl|resource ammunition
itm_resource_weaponry|resource weaponry
itm_resource_weaponry_pl|resource weaponry
itm_resource_military_supplies|resource military supplies
itm_resource_military_supplies_pl|resource military supplies
itm_resource_fabric|resource fabric
itm_resource_fabric_pl|resource fabric
itm_resource_construction_materials|resource construction materials
itm_resource_construction_materials_pl|resource construction materials
itm_resource_furniture|resource furniture
itm_resource_furniture_pl|resource furniture
itm_resource_machine_parts|resource machine parts
itm_resource_machine_parts_pl|resource machine parts
itm_resource_paper|resource paper
itm_resource_paper_pl|resource paper
itm_resource_clothes|resource clothes
itm_resource_clothes_pl|resource clothes
itm_resource_timber|resource timber
itm_resource_timber_pl|resource timber
itm_resource_steel|resource steel
itm_resource_steel_pl|resource steel
itm_pes_end|pes end
itm_pes_end_pl|pes end
itm_javelin_bow_ammo|Shooting Javelins
itm_javelin_bow_ammo_pl|Shooting Javelins
itm_ccoop_new_items_end|Items End
itm_ccoop_new_items_end_pl|Items End
itm_ria_infantry_trousers1|Pantalones de Infante Ruso
itm_ria_infantry_trousers1_pl|Pantalones de Infantes Rusos
itm_ria_infantry_trousers2|Pantalones de Infante Ruso
itm_ria_infantry_trousers2_pl|Pantalones de Infantes Rusos
itm_ria_infantry_trousers3|Pantalones de Infante Ruso
itm_ria_infantry_trousers3_pl|Pantaloness de Infantes Rusos
itm_ria_infantry_trousers4|Pantalones de Infante Ruso
itm_ria_infantry_trousers4_pl|Pantalones de Infantes Rusos
itm_ria_infantry_trousers5|Pantalones de Infante Ruso
itm_ria_infantry_trousers5_pl|Pantalones de Infantes Rusos
itm_ria_cavalry_trousers1|Pantalones de Jinete Ruso
itm_ria_cavalry_trousers1_pl|Pantalones de Jinetes Rusos
itm_ria_cavalry_trousers2|Pantalones de Jinete Ruso
itm_ria_cavalry_trousers2_pl|Pantalones de Jinetes Rusos
itm_ria_cavalry_trousers3|Pantalones de Cosaco Ruso
itm_ria_cavalry_trousers3_pl|Pantalones de Cosacos Rusos
itm_ria_cavalry_trousers4|Pantalones de Jinetes Ruso
itm_ria_cavalry_trousers4_pl|Pantalones de Jinetes Rusos
itm_ria_infantry1|Uniforme Militar Ruso
itm_ria_infantry1_pl|Uniformes Militares Rusos
itm_ria_infantry2|Uniforme Militar Ruso
itm_ria_infantry2_pl|Uniformes Militares Rusos
itm_ria_infantry3|Uniforme Militar Ruso
itm_ria_infantry3_pl|Uniformes Militares Rusos
itm_ria_infantry4|Uniforme Militar Ruso
itm_ria_infantry4_pl|Uniformes Militares Rusos
itm_ria_infantry5|Uniforme Militar Ruso
itm_ria_infantry5_pl|Uniformes Militares Rusos
itm_ria_infantry6|Uniforme Militar Ruso
