qstr_Next_Page|Следующая страница
qstr__You_have_successful| Вы благополучно проскользнули мимо стражи.
qstr_{s13}_A_tournament_w|{s13} Скоро здесь состоится турнир.
qstr___{reg1}_denars_per_| ({reg1} динар за ночь)
qstr_Moreover_you_earn_{r|Кроме того, Вы получаете {reg8} динар от ставок на себя...
qstr_Victory_is_yours!_Yo|Победа за Вами! Вы выиграли в этом поединке, теперь Вам нужно подготовиться к следующему.
qstr_You_have_been_bested|Вы проиграли в этом поединке, но признав ваше мастерство и храбрость, герольд позволяет вам принять участие в следующем.
qstr_You_were_beaten._The|Вы проиграли. Селяне радуются своему успеху, но урок, который Вы хотели им преподать пропал даром...
qstr_After_beating_your_l|После победы над последним противником вы объясняете крестьянам, каким образом можно защититься от подобной атаки. Возможно, они примут это к сведению и будут лучше подготовлены в следующий раз.
qstr_The_bandits_are_brok|Бандиты повержены! Те немногие кто выжил убегают с поджатыми хвостами в страхе перед крестьянами и их новым защитником.
qstr_{s1}_s_Ship|Судно, принадлежащее {s1}
qstr_However_{reg3?You_ar|{reg3?Вы не смогли:{s1} не смог} найти товаров, которые могут принести прибыль.
qstr_^Buying_{s4}_here_an|^Купив {s4} здесь и продав его в {s5} Вы получите прибыль в размере {reg6} динар за единицу товара.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Вы обнаружили:{s1} обнаружил} следующее:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} получают {reg0} опыта.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} дополнительно получает {reg0} опыта.
qstr_^You_earned_{reg0}_e|^Вы получаете {reg0} опыта.{s2}
qstr_The_training_didn_t_|Тренировка прошла плохо.
qstr_The_training_didn_t_g|Тренировка прошла не совсем хорошо.
qstr_The_training_went_qu|Тренировка прошла удовлетворительно.
qstr_The_training_went_ve|Тренировка прошла хорошо.
qstr_The_training_went_pe|Тренировка прошла отлично.
qstr_{s13}_asked_you_to_r|{s13} просил вас явиться к нему, имея минимум {reg13} воинов в отряде.
qstr_{s13}_ordered_you_to|{s13} приказал Вам присоединиться к осаде {s14}.
qstr_Find_and_speak_with_|Разыщите и поговорите с {s3} ({s4}) для принесения ему вассальной присяги.
qstr_There_has_been_an_al|Ходят слухи о пограничной стычке: {s9}
qstr_^^Note_that_so_long_|^^Обратите внимание: пока Вы являетесь маршалом, другие вассалы будут ожидать, что Вы поведете их за собой. Если Вы ждете начала пира, свадьбы или других событий, вы можете сложить с себя полномочия маршала, обратившись к Вашему сеньору.
qstr_Breaking_camp...|Лагерь свернут...
qstr_Your_party_is_spotte|Ваш отряд заметили около {s1}.
qstr_Party_has_nothing_to|Бойцам нечего есть!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?бежали:бежал} из вашего отряда ночью.
qstr_{s1}_of_{s3}_has_bee|{s1} ({s3}) был освобожден из заточения.
qstr_Building_of_{s0}_in_|Строительство улучшения {s0} в {s4} было завершено.
qstr_{s1}_has_won_the_tou|{s1} выигрывает турнир в {s2}.
qstr_{s1}_is_no_longer_in|В {s1} больше нет бандитов (ночью).
qstr_You_pay_for_accommod|Вы платите за постой.
qstr_Betrothal_to_{s5}_ex|Помолвка с {s5} утратила силу
qstr__Your_tactics_skill_| Ваш навык тактики увеличен на 1 пункт.
qstr__Your_persuasion_ski| Ваш навык убеждения увеличен на 1 пункт.
qstr__Your_leadership_ski| Ваш навык лидерства увеличен на 1 пункт.
qstr__Your_intelligence_h| Ваш интеллект увеличен на 1 пункт.
qstr__Your_trade_skill_ha| Ваш навык торговли увеличен на 1 пункт.
qstr__Your_weapon_master_| Ваш навык владения оружием увеличен на 1 пункт.
qstr__Your_engineer_skill| Ваше инженерное мастерство увеличено на 1 пункт.
qstr_You_have_finished_re|Вы прочли {s1}.{s2}
qstr_Book_Read|Чтение книги
qstr_{s1}_is_scouted.|Разведка у {s1} завершена.
qstr_{s1}_has_switched_fr|{s1} перешел от {s2} к {s3}.
qstr_{reg65?my_Lady:my_Lo|{reg65?миледи:милорд}
qstr_{reg65?My_Lady:My_Lo|{reg65?Миледи:Милорд}
qstr_{reg65?madame:sir}|{reg65?мадам:сир}
qstr_{reg65?Madame:Sir}|{reg65?Мадам:Сир}
qstr__no_fiefs_|(нет владений)
qstr__fiefs:_{s0}_|(владения: {s0})
qstr_It_s_your_money_or_y|Кошелек или жизнь, {парень/девчонка}. Только без резких движений, а то мои парни нервничают.
qstr_Lucky_for_you_you_ca|Твое счастье, что я в хорошем настроении. Давай всю наличность и, может быть, мы оставим тебя в живых.
qstr_This_a_robbery_eh?_I|Это ограбление, ясно? Даю тебе один шанс: отдавай все что есть или прощайся с жизнью. Уразумел?
qstr_we_have_made_very_li|пока мы практически не продвинулись к цели
qstr_we_have_suceeded_in_|мы получили кое-что, но впереди еще долгий путь
qstr_we_have_become_a_sig|мы представляем из себя силу, с которой нельзя не считаться и у нас хорошие шансы на победу
qstr_we_are_winning_the_w|мы практически победили, но еще враги еще строят козни.
qstr_we_are_on_the_verge_|мы в шаге от победы. Оставшиеся противники не представляют угрозы, но их необходимо нейтрализовать окончательно.
qstr_{playername}_when_we|{playername}, в начале этого долгого пути практически никто не обладал достаточным мужеством, чтобы поддержать Нас, и еще меньше было готово отдать за Нас свою жизнь. Но Вы ни минуты не колеблясь бросились на Наших врагов. Вместе мы прошли через многое и часто надежда оставляла нас, но с Божьей помощью мы преодолели все. Теперь для Нас настало время покинуть Ваш отряд и взять принадлежащее Нам по праву. Отныне Мы несем ответственность за правление {s3}. Перед Нами стоит множество задач и Мы надеемся на Вашу помощь в их решении. И, конечно, Вы навсегда останетесь первейшим из Наших почитаемых вассалов.
qstr__We_will_of_course_n| Естественно, необходимо дождаться окончания кампании.
qstr_I_am_{s4}_the_ruler_|Я {s4}, сюзерен {s6}
qstr_I_am_{s4}_a_vassal_o|Я {s4}, вассал {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? и правитель {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} приказал Вам найти и доставить ему {reg3} голов скота.
qstr_{s9}_asked_you_to_sc|{s9} приказал Вам разведать окрестности {s13}, {s14} и {s15}, после чего доложить ему о результатах разведки.
qstr_you|вы
qstr_You_are_challenging_|Вы вызываете меня на дуэль? Фигляр! Впрочем, как пожелаете, {playername}. Я готов размяться с Вами, всадник без головы.
qstr_{s16}_and_{s17}|{s16} и {s17}
qstr_Very_well_I_will_acc|Хорошо, Мы вновь примем Вас в ряды Наших вассалов, если Вы готовы снова принести Нам торжественную присягу.
qstr_A_pardon_will_only_b|Мы даруем Вам прощение, если Вы готовы отказаться от {s17} в Нашу пользу. Вы согласны с таким условием?
qstr_No._There_is_no_chan|Никогда! Никогда не бывать миру между нами!
qstr_Our_marshal_{s1}|Наш маршал, {s1}
qstr_{s11}_and_{s12}|{s11} и {s12}
qstr_We_are_not_at_war_wi|В настоящее время мы ни с кем не воюем.
qstr_We_are_at_war_with_{|Мы воюем с {s12}.
qstr_go_on_the_offensive_|перейти в наступление
qstr_act_to_defend_our_la|принять меры для защиты наших земель
qstr_take_more_time_to_ga|ждать больше времени до сбора армии
qstr_You_promised_to_help|Вы обещали поддержку {s13} в его претензиях на трон {s14}.
qstr_What_do_you_say_to_e|Что Вы скажете о службе в качестве капитана наемников у {s9}? Без сомнения, Вы подходите для этой задачи.
qstr_{s9}_asked_you_to_ta|{s9} просил Вас доставить сообщение {s13}. {s13} по всей вероятности находился в {s4} во время получения этого задания.
qstr_{s9}_asked_you_to_tak|{s9} просил Вас доставить сообщение {s13} ({s15}). {s13} по всей вероятности находился в {s4} во время получения этого задания.
qstr_{s11}_asked_you_to_e|{s11} просил Вас сопровождать его {s17} {s13} в {s14}.
qstr_{s13}_asked_you_to_d|{s13} просил Вас разобраться с бандитами, захватившими деревню {s15} и после этого связаться с ним.
qstr_{s9}_asked_you_to_ra|{s9} просил, чтобы Вы обучили {reg1} человек до {s14} и привели их к нему.
qstr_{s9}_asked_you_to_co|{s9} просил Вас помочь в сборе налогов с {s3}. Он предложил Вам 1/5 от тех денег, что Вы соберете.
qstr_{s9}_asked_you_to_hu|{s9} просил Вас помочь в охоте на беглеца по имени {s4}. По всей вероятности, сейчас он находится в {s3}.
qstr_{s9}_asked_you_to_as|{s9} просил Вас помочь в убийстве торговца из {s3}.
qstr_{s9}_has_asked_you_t|{s9} просил Вас встретиться с его шпионом в {s13}.
qstr_{s11}_asked_you_to_f|{s11} просил Вас проследить за шпионом, который покинет {s12}. Будьте осторожны, чтобы шпион не заметил Вас, в противном случае он начнет подозревать слежку и повернет обратно. Когда шпион встретится со своим связником, Вам необходимо захватить их и привезти к {s11}.
qstr_{s11}_asked_you_to_c|{s11} просил Вас захватить одного из вассалов {s13} (любого) и привезти его к {s11}.
qstr_{s9}_asked_you_to_le|{s9} просил, чтобы Вы одолжили ему Вашего спутника {s3} на неделю.
qstr_{s9}_asked_you_to_col|{s9} просил Вас взыскать {reg4} динар, которые {s3} должен ему. На момент получения задания {s3} был в {s4}.
qstr_{s11}_gave_you_a_fak|{s11} дал Вам подложное письмо для {s13}, изобличающее его вассала {s16}. Поблизости от {s14}, отдайте это письмо одному из ваших {s15} и пошлите его в город гонцом. Он должен быть твердо уверен в истинности Ваших намерений.
qstr_{s9}_has_requested_y|{s9} просил, чтобы Вы привели ему {reg1} пленных {s3}.
qstr_Lend_your_experience|Предоставить Вашего опытного хирурга {s3} для {s1}.
qstr_Then_take_it_with_my|Примите это вкупе с моей вечной признательностью. Вы благородный человек. Я никогда не забуду, как Вы помогли мне в трудную минуту.
qstr_Forgive_me_{playerna|Простите меня, {playername}, но я настаиваю, чтобы Вы приняли их. Деньги мало значат для меня, а мой долг перед Вами высок. Возьмите-же и не будем больше об этом.
qstr_{playername}_what_a_|{playername}, Вы прекрасный человек и я не позволю Вам отказаться от награды. Мой долг перед Вами больше, нежели возможно выразить в словах, так возьмите эти деньги. Вы распорядитесь ими гораздо лучше чем я.
qstr_{s11}_asked_you_to_r|{s11} просила Вас спасти ее {s17}, {s13}, из {s14} поменявшись с ним одеждой и заняв его место в темнице.
qstr_{s11}_asked_you_to_re|{s11} просила Вас спасти ее {s17}, {s13}, томящегося в {s14}.
qstr_{s11}_asked_you_to_d|{s11} просила Вас доставить послание {s13}, находящемуся в плену в {s14}.
qstr_You_agreed_to_challe|Вы согласились бросить вызов {s13} в защиту чести госпожи {s11}.
qstr_{s5}__Persuasion_str|{s5} (сила убеждения: {reg5})
qstr_Persuasion_Attempt|Попытка убеждения
qstr_A_villager_from_{s7}|Селянин из деревни {s7} умолял Вас спасти ее от разбойников, нашедших там пристанище.
qstr_You_chose_well_{sir/|Одобряю Ваш выбор, {сир/мадам}. Мои соратники знают как держать слово и сполна отрабатывают свою плату.
qstr_Well_done_{sir/madam|Прекрасно, {сир/мадам}. Деньги и вино, и во всей Кальрадии Вам некого опасаться.
qstr_We_are_at_your_servi|Мы к Вашим услугам, {сир/мадам}. Просто покажите, кого нужно поучить манерам, а остальное мы сделаем сами.
qstr_The_Guildmaster_of_{|Цеховой мастер города {s13} просил Вас позаботиться о разбойниках, промышляющих в округе.
qstr_{s9}_of_{s3}_asked_y|{s9} ({s3}) просил Вас доставить {s6} в количестве {reg5} шт. в таверну города {s4} за 7 дн.
qstr_Escort_the_merchant_|Сопроводить торговый караван до {s8}.
qstr_Merchant_{s9}_of_{s4|Торговец {s9} ({s4}) просил Вас разобраться с беспокоящими его бандитами, промышляющими в окрестностях города.
qstr_Guildmaster_of_{s4}_|Цеховой мастер города {s4} передал вам {reg12} динар для уплаты выкупа бандитам, похитившим девушку. Вы должны встретиться с бандитами неподалеку от селения {s3} для передачи выкупа. После этого Вам необходимо привезти девушку обратно в город {s4}.
qstr_Guildmaster_of_{s4}_p|Цеховой мастер города {s4} обещал Вам {reg12} динар если Вы убедите {s12} и {s13} не препятствовать заключению мира между государствами {s15} и {s14}. Добиться этого можно либо убедив их, либо захватив в плен и изолировав до подписания мирного соглашения между государствами.
qstr_The_Guildmaster_of_{s|Цеховой мастер города {s14} просил вас разобраться с бандой уличных грабителей в городе {s14}. Они появляются ночью и нападают только на одиноких прохожих.
qstr_Guildmaster_of_{s10}|Цеховой мастер города {s10} просил Вас перегнать стадо в {s13}. Вы получите {reg8} динар за хлопоты.
qstr_He_is_not_commanding|В настоящий момент у него в подчинении никого нет.
qstr_He_currently_command|В настоящий момент под его командой {reg0} человек{reg1?, {reg1} из которых ранены:}.
qstr_The_elder_of_the_vil|Старейшина деревни {s3} просил Вас доставить им {reg5} мешков пшеницы.
qstr_The_elder_of_the_vill|Старейшина деревни {s13} просил Вас обучить {reg5} крестьян для противостояния бандитам.
qstr_The_elder_of_the_villa|старейшина деревни {s3} просил Вас пригнать {reg5} голов скота.
qstr_{s16}_and_{s15}|{s16} и {s15}
qstr_I_can_smell_a_fat_pu|Я чую толстый кошелек за версту.
qstr_Why_it_be_another_tr|Какая приятная, неожиданная встреча! Предупреждаю, для {паренька/девушки} вроде тебя дороги здесь опасны. Но за небольшую мзду мы с моими ребятами проследим, чтобы дорога для тебя была поспокойнее, идет?
qstr_Well_well_look_at_th|Посмотрите-ка сюда! Лучше начинай выгружать из карманов монеты, а то мы с моими друзьями будем тебя немножко бить.
qstr_There_s_a_toll_for_p|Проход здесь платный, а мы собираем эту плату. Надеюсь, Вы не будете возражать, если мы немного облегчим Ваш кошелек?
qstr_Another_fool_come_to|Еще одно тупое создание решило броситься на мой клинок? Прекрасно, к бою!
qstr_We_re_not_afraid_of_|Ничтожество! Мы не боимся таких как ты и сейчас проломим парочку голов!
qstr_That_was_a_mistake._|Большая ошибка с твоей стороны. Я буду убивать тебя медленно и мучительно.
qstr_Brave_words._Let_s_s|Храбрые речи. Сможешь подтвердить их делами, пес?
qstr_A_{s5}?_Well..._Yes_|{s5}? Хм... Да, полагаю, так и есть. Странный вопрос.
qstr_Eh?_No_it_most_certa|А? Нет, скорее всего не {s5}. На Вашем месте я бы опросил всех кого возможно.
qstr_This_is_the_{reg4?to|Это {reg4?город:деревня} {s5}, {сир/мадам}.
qstr_{s6}_Our_{reg4?town:|{s6} Наше поселение и прилегающие земли принадлежат Вам, {милорд/миледи}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Нашим городом:Нашей деревней} и окружающими землями владеет {s7} из {s8}.
qstr_{s3}_and_{s5}|{s3} и {s5}
qstr_{reg20?We_mostly_pro|{reg20?В основном мы производим здесь {s5}:В последнее время производство упало}. Если Вы хотите узнать больше, обратитесь к {reg4?цеховому мастеру:старосте}. Он там, недалеко.
