829
qstr_thawb1_belt1 thawb1_belt1
qstr_{!}DEBUG____Trying_f {!}DEBUG_--_Trying_for_intrigue_against_lord
qstr_{!}DEBUG____{s4}_has_ {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_liege
qstr_{!}DEBUG____{s4}_has_s {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_giver_troop
qstr_{!}DEBUG____{s4}_has_su {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_player
qstr_{!}DEBUG____Checking_f {!}DEBUG_--_Checking_for_resolve_dispute,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Checking_fo {!}DEBUG_--_Checking_for_offer_gift,_eligible_in_{reg4}_days
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_normal_faction_change
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_by_guardian_moving
qstr_{!}DEBUG____{s4}_awa {!}DEBUG_--_{s4}_awarded_to_{s5}
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_{!}DEBUG_:_There_are {!}DEBUG_:_There_are_already_enemies_({s6})_inside_{s7}.
qstr_{!}DEBUG____Calculat {!}DEBUG_--_Calculating_sortie_for_{s4}_strength_of_{reg3}_vs_{reg4}_enemies
qstr_Small_bands_of_enemi Small_bands_of_enemies_spotted_near_{s1}.
qstr_Enemy_patrols_spotte Enemy_patrols_spotted_near_{s1}.
qstr_Medium_sized_group_o Medium-sized_group_of_enemies_spotted_near_{s1}.
qstr_Significant_group_of Significant_group_of_enemies_spotted_near_{s1}.
qstr_Army_of_enemies_spot Army_of_enemies_spotted_near_{s1}.
qstr_Large_army_of_enemie Large_army_of_enemies_spotted_near_{s1}.
qstr_Great_host_of_enemie Great_host_of_enemies_spotted_near_{s1}.
qstr_{!}DEBUG_:_{s7}_is_h {!}DEBUG_:_{s7}_is_helping_his_commander_by_fighting_with_{s6}.
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr__{s1}__{s11}:_{s14} ({s1})_{s11}:_{s14}
qstr_{s14}__{s21}_ {s14}_({s21})
qstr_{!}DEBUG____{s4}_dro {!}DEBUG_--_{s4}_drops_{s5}_as_issue_as_it_has_changed_hands
qstr_{!}DEBUG____Issue_re {!}DEBUG_--_Issue_resolution_for_{s4}:_{reg4}_votes_for_a_quorum_of_{reg5},_{reg7}_hours_on_agenda
qstr_{!}DEBUG____Faction_ {!}DEBUG_--_Faction_resolves_political_issue
qstr_{!}DEBUG____{s4}_drop {!}DEBUG_--_{s4}_drops_{s5}_as_winner,_for_having_changed_sides
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshal_of_{s2}.
qstr_{!}DEBUG____{s4}_par {!}DEBUG_--_{s4}_participates_in_offensive
qstr_{!}DEBUG____{s4}_cho {!}DEBUG_--_{s4}_chosen_as_screen
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{s1}_has_declared_war {s1}_has_declared_war_against_{s2}_in_support_of_{s31}.
qstr_{!}DEbug___{s5}_cara {!}DEbug_-_{s5}_caravan_attacked
qstr_{s1}_and_{s2}_have_m {s1}_and_{s2}_have_made_peace_with_each_other.
qstr_{!}DEBUG____Player_s {!}DEBUG_--_Player's_kingdom_has_had_{reg3}_days_of_peace
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_the_field_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg4?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party.
qstr_{!}DEBUG____{s4}_is_p {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_attending_the_feast
qstr_{!}DEBUG____{s4}_is_pr {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_awaiting_the_player_in_private
qstr_{!}DEBUG____{s4}_is_pre {!}DEBUG_--_{s4}_is_present_at_the_center_and_is_allowed_to_meet_the_player
qstr_{!}DEBUG____{s4}is_p {!}DEBUG_--_{s4}is_present_at_the_center_and_is_not_allowed_to_meet_the_player
qstr_You_now_owe_{reg2}_p You_now_owe_{reg2}_pounds_to_{s1}.
qstr_Renown_value_for_thi Renown_value_for_this_battle_is_{reg8}.
qstr_You_have_run_into_a_ You_have_run_into_a_trap!
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_bandits!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_{!}{reg10} {!}{reg10}
qstr_{!}{reg11} {!}{reg11}
qstr_{!}{reg12} {!}{reg12}
qstr_{!}DEBUG_:_{s1}_is_t {!}DEBUG_:_{s1}_is_trading_with_villagers
qstr_{!}DEBUG____Trade_of {!}DEBUG_--_Trade_of_{s5}_from_{s3}_to_{s4}_brings_price_from_{reg4}_to_{reg5}
qstr_{!}DEBUG___{s4}_factio {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_1
qstr_{!}DEBUG___{s4}_faction {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_3
qstr_{s1}_Rebels {s1}_Rebels
qstr_{!}DEBUG___{s4}_faction_ {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_2
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{!}{s4}_is_in_{s5} {!}{s4}_is_in_{s5}
qstr_{!}DEBUG___{s1}_is_i {!}DEBUG_--{s1}_is_infested_by_bandits.
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_The_last_time_you_sa The_last_time_you_saw_{reg1?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg1?her:him},_{s1}
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Very_Poor Very_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Very_Rich Very_Rich
qstr_{!}DEBUG_:_Doing_spa {!}DEBUG_:_Doing_spawn_bandit_script
qstr_Manor Manor
qstr_A_manor_lets_you_res A_manor_lets_you_rest_at_the_village_and_pay_your_troops_half_wages_while_you_rest.
qstr_Mill Mill
qstr_A_mill_increases_vil A_mill_increases_village_prosperity_by_5%.
qstr_Watch_Tower Watch_Tower
qstr_A_watch_tower_lets_t A_watch_tower_lets_the_villagers_raise_alarm_earlier._The_time_it_takes_for_enemies_to_loot_the_village_increases_by_50%.
qstr_School School
qstr_A_shool_increases_th A_shool_increases_the_loyality_of_the_villagers_to_you_by_+1_every_month.
qstr_Messenger_Post Messenger_Post
qstr_A_messenger_post_let A_messenger_post_lets_the_inhabitants_send_you_a_message_whenever_enemies_are_nearby,_even_if_you_are_far_away_from_here.
qstr_Prison_Tower Prison_Tower
qstr_A_prison_tower_reduc A_prison_tower_reduces_the_chance_of_captives_held_here_running_away_successfully.
qstr_Prosperity_of_{s2}_h Prosperity_of_{s2}_has_changed_from_{s3}_to_{s4}.
qstr_{!}DEBUG:_Total_pros {!}DEBUG:_Total_prosperity_actual_losses:_{reg11}
qstr_{!}DEBUG:_Total_prosp {!}DEBUG:_Total_prosperity_actual_gains:_{reg12}
qstr_{!}DEBUG:_Prosperity {!}DEBUG:_Prosperity_changes_from_random_bandits:_{reg4}
qstr_{!}DEBUG:_Prosperity_ {!}DEBUG:_Prosperity_changes_from_caravan_trades:_{reg5}
qstr_{!}DEBUG:_Prosperity_c {!}DEBUG:_Prosperity_changes_from_farmer_trades:_{reg9}
qstr_{!}DEBUG:_Prosperity_ch {!}DEBUG:_Prosperity_changes_from_looted_villages:_{reg7}
qstr_{!}DEBUG:_Prosperity_cha {!}DEBUG:_Prosperity_changes_from_sieges:_{reg8}
qstr_{!}DEBUG:_Theoretica {!}DEBUG:_Theoretical_prosperity_changes_from_convergence:_{reg10}
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_{reg3}_h You_brought_{reg3}_heads_of_cattle_to_{s1}.
qstr_{!}Village_now_has_{ {!}Village_now_has_{reg4}
qstr_I_heard_that_there_w I_heard_that_there_will_be_a_tournament_in_{s62}_soon.
qstr_I_heard_that_one_can I_heard_that_one_can_buy_{s62}_very_cheap_at_{s63}.
qstr_I_heard_that_they_pa I_heard_that_they_pay_a_very_high_price_for_{s62}_at_{s63}.
qstr_{!}Log_entry_{reg3}: {!}Log_entry_{reg3}:_type_{reg4}
qstr_{!}Center:_{s4} {!}Center:_{s4}
qstr_{!}Troop:_{s4} {!}Troop:_{s4}
qstr_{!}Lord:_{s4} {!}Lord:_{s4}
qstr_{!}Ally_party_is_pre {!}Ally_party_is_present
qstr_{!}{s4}_is_present_a {!}{s4}_is_present_at_event
qstr_{!}Event_#{reg5}_typ {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_{!}Event_#{reg5}_type {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_{!}Event_#{reg5}_type_ {!}Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_{!}Event_#{reg5}_type_{ {!}Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_{!}Event_#{reg5}_type_{r {!}Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_{!}Elapsed_hours:_{r {!}Elapsed_hours:_{reg7}
qstr_{!}Reputation_type:_ {!}Reputation_type:_{s15}
qstr_{!}Entries_up_to_#{r {!}Entries_up_to_#{reg5}_skipped
qstr_two_days_ago two_days_ago
qstr_{!}DEBUG___{s4}_faction_c {!}DEBUG_-_{s4}_faction_changed_in_subornment
qstr_{!}{s4}_inflicts_{re {!}{s4}_inflicts_{reg4}_damage_on_{s5},_raising_total_inflicted_to_{reg3}
qstr_{!}War_damage_raises {!}War_damage_raises_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}War_damage_lowers {!}War_damage_lowers_{s4}'s_controversy_by_{reg4}_to_{reg5}
qstr_{!}G_talk_troop_{s20 {!}G_talk_troop_{s20}_evaluates_being_vassal_to_{s22}_of_{s21}
qstr_{!}DEBUG____Analyzin {!}DEBUG_--_Analyzing_lord_allegiances,_combined_bonuses_and_penalties_=_{reg0}
qstr_{!}DEBUG____Total_co {!}DEBUG_--_Total_courtship_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ra {!}DEBUG_--_Total_random_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ba {!}DEBUG_--_Total_battle_changes_for_allies:_{reg4}
qstr_{!}DEBUG____Total_bat {!}DEBUG_--_Total_battle_changes_for_enemies:_{reg4}
qstr_{!}DEBUG____Total_pr {!}DEBUG_--_Total_promotion_changes:_{reg4}
qstr_{!}DEBUG____Total_fe {!}DEBUG_--_Total_feast_changes:_{reg4}
qstr_{!}DEBUG____Total_po {!}DEBUG_--_Total_policy_dispute_changes:_{reg4}_from_{reg5}_decisions
qstr_{!}DEBUG____Total_fa {!}DEBUG_--_Total_faction_switch_changes:_{reg4}
qstr_{!}DEBUG____Total_no {!}DEBUG_--_Total_no_fief_changes:_{reg4}
qstr_{!}DEBUG____Total_ch {!}DEBUG_--_Total_changes_through_convergence:_{reg4}
qstr_{!}DEBUG____Total_va {!}DEBUG_--_Total_vassal_responses_to_campaign:_{reg4}
qstr_{!}DEBUG____Total_vas {!}DEBUG_--_Total_vassal_campaign_days:_{reg4}
qstr_{!}DEBUG____Vassal_r {!}DEBUG_--_Vassal_response_rate:_{reg4}
qstr_{!}DEBUG___{s4}_s_fe {!}DEBUG_-_{s4}'s_feast_has_rating_of_{reg4}
qstr_{!}_DEBUG___{s4}_fac {!}_DEBUG_-_{s4}_faction_change_in_marriage_case_5
qstr_{!}DEBUG___{s4}_faction_ch {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_6
qstr_{!}DEBUG___{s4}_stro {!}DEBUG_-_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}Actor_centers_hel {!}Actor_centers_held_by_target_noted
qstr_{!}War_damage_under_ {!}War_damage_under_minimum
qstr_{!}Strength_ratio_co {!}Strength_ratio_correct
qstr_{!}Third_party_wars {!}Third_party_wars
qstr_{!}DEBUG____{s15}_is {!}DEBUG_--_{s15}_is_strongest_kingdom
qstr_{!}DEBUG____{s15}_ha {!}DEBUG_--_{s15}_has_30_point_advantage_over_{s16}
qstr_{!}DEBUG____{s15}_has {!}DEBUG_--_{s15}_has_proximity_to_{s16}
qstr_{!}DEBUG____hardship {!}DEBUG_--_hardship_index_for_{s4}_=_{reg0}
qstr_{!}Castle_taken_by_{ {!}Castle_taken_by_{s3}
qstr_{!}Two_thirds_averag {!}Two-thirds_average_renown_=_{reg3}
qstr_{!}DEBUG____Colleagu {!}DEBUG_--_Colleague_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____Open_tes {!}DEBUG_--_Open_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____{s8}_bac {!}DEBUG_--_{s8}_backs_{s9}:{s10}
qstr_{!}DEBUG____{s4}_pro {!}DEBUG_--_{s4}_produces_a_faction_strategy_for_{s33}
qstr_{!}Best_offensive_ta {!}Best_offensive_target_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_t {!}No_center_found_to_attack
qstr_{!}Best_threat_of_{s {!}Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_to {!}No_center_found_to_defend
qstr_Best_threat_of_{s4}_ Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_No_center_found_to_d No_center_found_to_defend
qstr_You_gain_right_to_ru You_gain_right_to_rule.
qstr_You_lose_right_to_ru You_lose_right_to_rule.
qstr_{!}DEBUG___{s4}_faction_cha {!}DEBUG_-_{s4}_faction_changed_in_indictment
qstr_{!}{s9} {!}{s9}
qstr_Added_money_for_your Added_money_for_your_old_horse
qstr_{!}used_troop_no_is_ {!}used_troop_no_is_{reg0}
qstr_{!}sending_message_t {!}sending_message_to_{reg0}_multiplayer_event_other_event_ccoop_count_down_invisible
qstr_{!}spawn_required_is {!}spawn_required_is:_{reg0}
qstr_{!}num_troops_for_wa {!}num_troops_for_wave_is_{reg0}
qstr_{!}num_troops_for_wav {!}num_troops_for_wave_is_gt_spawn_required._reduced_spawn_amount_is_{reg0},_reduced_spawn_amount_mod_is_{reg1}
qstr_{!}original_spawned_ {!}original_spawned_troop_count_is_{reg0}
qstr_{!}reducing_spawn_am {!}reducing_spawn_amount_by_one
qstr_{!}spawning_bot_grou {!}spawning_bot_group_{reg0}:_{reg2}_{s0}_from_entry_point_{reg1}
qstr_{!}destroy_prison_ca {!}destroy_prison_cart
qstr_{!}spawning_prison_c {!}spawning_prison_cart_at_point_{reg0}
qstr_{!}prison_cart_spawn {!}prison_cart_spawn_at_point_{reg0}
qstr_{!}multiplayer_upgra {!}multiplayer_upgrade_player_equipment:_{reg0}
qstr_Line_Infantry_Compan Line_Infantry_Company
qstr_Light_Infantry_Compa Light_Infantry_Company
qstr_Guard_Infantry_Compa Guard_Infantry_Company
qstr_Cavalry_Squadron Cavalry_Squadron
qstr_Mounted_Rifles_Squad Mounted_Rifles_Squadron
qstr_Cavalry_Guard_Squadr Cavalry_Guard_Squadron
qstr_Field_Guns_Battery Field_Guns_Battery
qstr_Howitzers_Battery Howitzers_Battery
qstr_Machine_Guns_Crew Machine_Guns_Crew
qstr_Shock_Troops_Company Shock_Troops_Company
qstr_Armor_Squadron Armor_Squadron
qstr__I. _I.
qstr_L.I. L.I.
qstr__G. _G.
qstr_M.C. M.C.
qstr_M.R. M.R.
qstr_C.G. C.G.
qstr_G.B. G.B.
qstr_H.B. H.B.
qstr_M.G. M.G.
qstr_S.I. S.I.
qstr_A. A.
qstr_Cannot_form_square:_t Cannot_form_square:_too_few_soldiers_(need_at_least_25).
qstr_1_{reg1} 1_{reg1}
qstr_{s31}_created_a_casu {s31}_created_a_casus_belli_for_{s32}_for_{reg10}_days.
qstr_{s31}_s_infamy_is_in {s31}'s_infamy_is_increased_by_{reg10}_and_is_now_{reg11}.
qstr_{s31}_s_infamy_is_de {s31}'s_infamy_is_decreased_by_{reg10}_and_is_now_{reg11}.
qstr_Belongs_to_{s31} Belongs_to_{s31}
qstr_Controlled_by_{s31}^ Controlled_by_{s31}^Belongs_to_{s32}
qstr_{s31}_becomes_an_all {s31}_becomes_an_ally_of_{s32}.
qstr_{s31}_breaks_an_alli {s31}_breaks_an_alliance_with_{s32}.
qstr_Absolute_Monarchy Absolute_Monarchy
qstr_Constitutional_Monar Constitutional_Monarchy
qstr_Republic Republic
qstr_Parliament_Compositi Parliament_Composition
qstr_{s1}:_{reg1}% {s1}:_{reg1}%
qstr_Ruling_party Ruling_party
qstr_Influence:_{reg1}% Influence:_{reg1}%
qstr_Annual_Income:_{reg1 Annual_Income:_{reg1}.{reg10}_p.
qstr_Corruption_level:_{r Corruption_level:_{reg10}%
qstr_+{reg10}_pounds +{reg10}_pounds
qstr_Goods_and_services_t Goods_and_services_tax:_{reg10}%
qstr__{reg10}_pounds -{reg10}_pounds
qstr_Public_servants_wage Public_servants_wage_expenses:^-{reg10}_pounds
qstr_Lost_from_corruption Lost_from_corruption:_-{reg10}_pounds
qstr_Last_budget_change:^ Last_budget_change:^{reg10}_pounds
qstr_PPS_Faction_iteratio PPS_Faction_iteration_of_{s1}.
qstr_Center_iteration_of_ Center_iteration_of_{s1}.
qstr_{s1}_s_{s2}_Iteratio {s1}'s_{s2}_Iteration:
qstr_price_item_{s1}_raw_ price_item_{s1}_raw_resource1_{reg10}_raw_resource1_amount_{reg11}_output_size_{reg12}.
qstr_Produced_{reg10}_wit Produced_{reg10}_with_{reg20}_workers,_raw_resources_multiplier_was_{reg30}.
qstr_Spent_{reg10}_pounds Spent_{reg10}_pounds_for_wage.
qstr_Searching_for_{s1}_i Searching_for_{s1}_in_{reg10}_centers.
qstr_{s1}_has_{reg10}_of_ {s1}_has_{reg10}_of_{s2}.
qstr_In_sum_bought_{reg1} In_sum,_bought_{reg1}/{reg10}_of_{s1}.
qstr_Workers_unemployed__ Workers_unemployed_-_{reg1},_employed_{reg2}_workers.
qstr_{reg1}_thousands_of_ {reg1}_thousands_of_population
qstr_Daily_GDP_is_{reg1}_p Daily_GDP_is_{reg1}_pounds^({reg2}%_of_{s1}'s_economy).
qstr_This_region_produces This_region_produces_increased_amount_of_{s2}.
qstr_Add_Workplaces^^Buyi Add_Workplaces^^Buying_more_equipment_will_increase^number_of_workplaces.
qstr_Improve_Worker_Condi Improve_Worker_Conditions^^Improving_working_conditions_means_inceasing^worker_wage,_improving_production_safety_and,^in_the_end,_introducing_social_benefits_to_workers.^This_will_increase_quality_of_product^and_increase_factory_attractiveness^for_potential_workers.
qstr_Improve_Equipment^^T Improve_Equipment^^Thorough_maintaining_and_improving_factory^equipment_increases_quality_of_product,_making^it_more_likely_to_be_sold.
qstr_No_development_mode. No_development_mode.
qstr_{reg10}/{reg11}_work {reg10}/{reg11}_workers
qstr_Budget:_{reg10}_poun Budget:_{reg10}_pounds.
qstr_Income:_{reg10}_poun Income:_{reg10}_pounds.
qstr_Spent_{reg10}_pounds_ Spent_{reg10}_pounds_and_earnt_{reg11}_pounds.
qstr_Managed_to_buy_{reg1 Managed_to_buy_{reg10}%_of_needed_raw_resources^needed_for_production.
qstr_Produced_{reg10}.{re Produced_{reg10}.{reg12}_{s1}_(sold_{reg11}%).
qstr_Quality_of_product_i Quality_of_product_is_{reg10}%.
qstr_Engineers_percentage Engineers_percentage_is_{reg10}%.
qstr_Deterioration_of_mac Deterioration_of_machine_tools_is_{reg10}%.
qstr_bad bad
qstr_medium medium
qstr_good good
qstr_exellent exellent
qstr_Worker_wage_is_{s1}; Worker_wage_is_{s1};_Working_conditions_are_{s2}.
qstr_Select_development_m Select_development_mode:
qstr_Set_workers_wage_lev Set_workers_wage_level:
qstr_Sell_factory__{reg10 Sell_factory_({reg10}_pounds)
qstr_Building^{s1}^_{reg1 Building^{s1}^({reg10}%)
qstr_pes_region_factory_p pes_region_factory_photo_notavailable
qstr_pes_region_factory_ph pes_region_factory_photo_empty
qstr_Steel_Factory Steel_Factory
qstr_pes_region_factory_pho pes_region_factory_photo_steel
qstr_Ammunition_Factory Ammunition_Factory
qstr_pes_region_factory_phot pes_region_factory_photo_ammunition
qstr_Lumber_Mill Lumber_Mill
qstr_pes_region_factory_photo pes_region_factory_photo_timber
qstr_Machinery_Parts_Plan Machinery_Parts_Plant
qstr_pes_region_factory_photo_ pes_region_factory_photo_machineparts
qstr_Cotton_Mill Cotton_Mill
qstr_pes_region_factory_photo_f pes_region_factory_photo_fabric
qstr_Paper_Mill Paper_Mill
qstr_pes_region_factory_photo_p pes_region_factory_photo_paper
qstr_Construction_Materia Construction_Materials^Factory
qstr_Construction_Material Construction_Materials_Factory
qstr_pes_region_factory_photo_c pes_region_factory_photo_constructionmaterials
qstr_Weaponry_Factory Weaponry_Factory
qstr_pes_region_factory_photo_w pes_region_factory_photo_weaponry
qstr_Military_Supplies^Fa Military_Supplies^Factory
qstr_Military_Supplies_Fa Military_Supplies_Factory
qstr_pes_region_factory_photo_m pes_region_factory_photo_militarysupplies
qstr_Clothing_Factory Clothing_Factory
qstr_pes_region_factory_photo_cl pes_region_factory_photo_clothes
qstr_Furniture_Factory Furniture_Factory
qstr_pes_region_factory_photo_fu pes_region_factory_photo_furniture
qstr_tons_of_steel tons_of_steel
qstr_ammunition ammunition
qstr_tons_of_timber tons_of_timber
qstr_tons_of_lumber tons_of_lumber
qstr_weapons weapons
qstr_clothings clothings
qstr_tons_of_coal tons_of_coal
qstr_tons_of_iron tons_of_iron
qstr_tons_of_constr._mate tons_of_constr._materials
qstr_kilograms_of_cotton kilograms_of_cotton
qstr_kilograms_of_fabric kilograms_of_fabric
qstr_pieces_of_furniture pieces_of_furniture
qstr_machine_parts machine_parts
qstr_tons_of_military_sup tons_of_military_supplies
qstr_kilograms_of_paper kilograms_of_paper
qstr_tons_of_meat tons_of_meat
qstr_tons_of_flour tons_of_flour
qstr_{reg12}_{s3}_has_bou {reg12}_{s3}_has_bought_{reg10}_{s1}_from_{s4}_for_{reg11}.
qstr_{s1}_s_{s2}_decided_ {s1}'s_{s2}_decided_to_fire_{reg10}_workers.
qstr_Population_of_{s1}_i Population_of_{s1}_is_buying_resources._Literacy_{reg10},_population_{reg11},_urbanization_{reg12}.
qstr_Steel Steel
qstr_Ammunition Ammunition
qstr_Lumber Lumber
qstr_Wood Wood
qstr_Weaponry Weaponry
qstr_Clothes Clothes
qstr_Coal Coal
qstr_Iron Iron
qstr_Construction_materia Construction_materials
qstr_Cotton Cotton
qstr_Fabric Fabric
qstr_Furniture Furniture
qstr_Machine_parts Machine_parts
qstr_Military_supplies Military_supplies
qstr_Paper Paper
qstr_Meat Meat
qstr_Flour Flour
qstr_Price___{reg10}.{reg Price_-_{reg10}.{reg11}_pounds
qstr_Supply___{reg11}.{re Supply_-_{reg11}.{reg12}_{s1}
qstr_Demand___{reg11}.{re Demand_-_{reg11}.{reg12}_{s1}
qstr_{reg10}._{s1} {reg10}._{s1}
qstr_{reg10}.{reg11} {reg10}.{reg11}
qstr____ _-_
qstr_{reg10}% {reg10}%
qstr_handicraft^only handicraft^only
qstr_{reg10}k_p. {reg10}k_p.
qstr_{reg10}_p. {reg10}_p.
qstr_{reg10}_mil. {reg10}_mil.
qstr_{reg10}_th. {reg10}_th.
qstr_{reg10}.{reg11}% {reg10}.{reg11}%
qstr_{s1}_produced_{reg10 {s1}_produced_{reg10}_{s2}.
qstr_Produces_steel_out^o Produces_steel_out^of_iron_and_coal.
qstr_Produces_ammunition_ Produces_ammunition_out^of_steel.
qstr_Produces_lumber_out^ Produces_lumber_out^of_wood.
qstr_Produces_weaponry_ou Produces_weaponry_out^of_steel_and_lumber.
qstr_Produces_clothes_out Produces_clothes_out^of_fabric.
qstr_Produces_constructio Produces_construction^materials_out_of_steel_and_coal.
qstr_Produces_fabric_out^ Produces_fabric_out^_of_cotton.
qstr_Produces_furniture_o Produces_furniture_out^_of_lumber.
qstr_Produces_machine_par Produces_machine_parts_out^_of_steel_and_coal.
qstr_Produces_military_su Produces_military_supplies_out^_of_steel_and_fabric.
qstr_Produces_paper_out^_ Produces_paper_out^_of_wood.
qstr_Produced_{reg2}_{s1} Produced_{reg2}_{s1}_with_{reg11}_artisans,_raw_resources_multiplier_was_{reg12}.
qstr_Chance_to_build_fact Chance_to_build_factory_in_{s1}_is_{reg10}.{reg11}%.
qstr_Building_factory_in_ Building_factory_in_{s1}
qstr_Price_of_{s1}_has_ch Price_of_{s1}_has_changed_by_{reg10}.
qstr_Urbanization_of_{s1} Urbanization_of_{s1}'s_center_{s2}_was_increased_by_{reg10}.
qstr_{reg10}._party_gives {reg10}._party_gives_{reg11}_votes
qstr_{s1}_rural_wealth_{r {s1}_rural_wealth_{reg10}_urban_wealth_{reg11}_middle_wealth_{reg12}_bourgeoisie_wealth_{reg13}_aristocracy_wealth_{reg14}_sum_wage_{reg15}_gdp_rural_{reg16}_gdp_urban_{reg17}_population_root_{reg18}
qstr_{s1}_cannot_launch_g {s1}_cannot_launch_grenade_attack_-_{reg1}_seconds_cooldown.
qstr_{s1}_cannot_launch_ga {s1}_cannot_launch_gas_attack_-_{reg1}_seconds_cooldown.
qstr_You_became_a_high_co You_became_a_high_command_officer,_which_means_you_are_free_to_act_independent_during_service.
qstr_You_became_a_non_com You_became_a_non-commissioned_officer,_which_means_you_will_now_command_troops_in_battle.
